UF,MUNICIPIO_NORM,LEITOS_SUS,POPULAÇÃO ESTIMADA,LEITOS_TOTAL_PER_THOUSAND
GO,novo brasil,10,3567.0,2.803476310625175
BA,ibitita,49,17517.0,2.7972826397214132
SP,duartina,35,12532.0,2.792850303223747
AL,pilar,102,36525.0,2.792607802874743
TO,natividade,25,8956.0,2.7914247431889234
GO,faina,20,7167.0,2.7905678805636946
BA,sao felix do coribe,44,15780.0,2.788339670468948
PB,aguiar,14,5026.0,2.785515320334262
SP,monte azul paulista,51,18337.0,2.7812619294322953
MS,jatei,10,3596.0,2.780867630700779
RS,vale do sol,28,10069.0,2.780812394478101
BA,barreiras,477,171634.0,2.7791696283953065
SC,saudades,30,10799.0,2.778035003241041
RO,seringueiras,36,12965.0,2.7767065175472427
PB,joao pessoa,2492,897633.0,2.7761902692971407
RS,guabiju,4,1441.0,2.7758501040943786
MG,itaguara,40,14415.0,2.774887270204648
MG,caetanopolis,33,11906.0,2.771711741978834
PE,vertentes,64,23127.0,2.767328231071907
CE,aracoiaba,74,26752.0,2.7661483253588517
ES,santa teresa,66,23872.0,2.764745308310992
PI,teresina,2503,905692.0,2.7636326698259452
SC,lages,476,172458.0,2.7600923123311185
CE,arneiroz,21,7615.0,2.757715036112935
BA,candiba,37,13417.0,2.757695460982336
ES,venda nova do imigrante,70,25395.0,2.756448119708604
SP,rancharia,81,29387.0,2.7563208221322353
SE,lagarto,292,105957.0,2.7558349141632927
RN,itau,15,5447.0,2.753809436387002
PR,engenheiro beltrao,34,12347.0,2.753705353527173
MG,campos altos,36,13076.0,2.7531355154481494
GO,crominia,11,3999.0,2.7506876719179796
PR,porecatu,31,11271.0,2.7504214355425427
PI,ribeiro goncalves,17,6182.0,2.7499191200258815
RO,ariquemes,300,109170.0,2.7480076944215446
PR,bituruna,43,15650.0,2.747603833865815
RS,crissiumal,36,13116.0,2.7447392497712717
SP,dracena,128,46735.0,2.738846688777148
GO,fazenda nova,16,5842.0,2.7387880862718244
PR,jesuitas,30,10954.0,2.738725579696914
MT,terra nova do norte,29,10591.0,2.7381739212538947
ES,guacui,86,31418.0,2.737284359284487
RN,guamare,44,16076.0,2.7369992535456578
MT,paranaita,33,12079.0,2.73201423958937
BA,sao miguel das matas,29,10615.0,2.731983042863872
PR,tuneiras do oeste,22,8067.0,2.7271600347093092
PE,ibirajuba,20,7334.0,2.727024815925825
MA,porto franco,67,24571.0,2.726791746367669
CE,saboeiro,38,13943.0,2.725381912070573
CE,altaneira,19,6974.0,2.7244049326068254
MG,bom jardim de minas,19,6988.0,2.718946765884373
PA,ulianopolis,107,39360.0,2.7184959349593494
BA,ubata,43,15839.0,2.7148178546625417
SC,guaraciaba,30,11071.0,2.709782314154096
SP,jaborandi,17,6280.0,2.707006369426751
RJ,itaperuna,290,107297.0,2.7027782696627116
RN,serrinha dos pintos,13,4810.0,2.7027027027027026
MA,pinheiro,238,88091.0,2.7017515977795687
GO,santa barbara de goias,17,6306.0,2.6958452267681574
PI,elesbao veloso,37,13743.0,2.6922797060321617
TO,piraque,6,2229.0,2.6917900403768504
RO,nova brasilandia d'oeste,44,16374.0,2.687187003786491
RS,candelaria,80,29775.0,2.686817800167926
SC,otacilio costa,48,17873.0,2.6856151737257314
SE,capela,88,32783.0,2.684318091693866
MA,lima campos,31,11559.0,2.681892897309456
RN,jardim do serido,32,11942.0,2.6796181544129962
SP,sud mennucci,20,7464.0,2.679528403001072
RN,jucurutu,49,18304.0,2.6770104895104896
CE,paramoti,28,10462.0,2.6763525138596824
AL,palmeira dos indios,197,73621.0,2.6758669401393624
CE,taua,173,64655.0,2.6757404686412496
SP,urania,24,8973.0,2.6746907388833163
BA,belo campo,51,19074.0,2.6737967914438503
RR,rorainopolis,101,37787.0,2.672876915341255
GO,catalao,328,122760.0,2.67188009123493
CE,penaforte,25,9357.0,2.671796515977343
TO,dianopolis,48,17966.0,2.6717132361126574
MA,peri mirim,30,11229.0,2.6716537536735236
MG,itaipe,28,10482.0,2.6712459454302615
PB,coremas,40,14987.0,2.6689797824781474
